countyFIPS,population_male,population_female,sex_ratio,under_18,over_18,over_or_62,median_age,total_housing
37037,35221,37918,92.9,14993,58146,21081,46.9,33007
37049,52488,50424,104.1,23254,79658,24112,38.4,47453
37085,66838,67376,99.2,34930,99284,21013,34.9,52561
37151,70559,72792,96.9,32132,111219,31289,40.7,62628
37195,37267,44188,84.3,18683,62772,17391,40.7,36316
39007,49312,48181,102.3,21423,76070,23383,43.1,46198
39013,34519,32986,104.6,13271,54234,17437,45.1,32159
39063,37308,38622,96.6,16770,59160,15532,39.6,34372
39141,40171,36760,109.3,16140,60791,16755,41.5,32070
39151,180157,191417,94.1,79683,291891,87234,42.0,166991
39157,44815,47361,94.6,21059,71117,22610,41.0,40234
40031,62558,57864,108.1,28335,92087,18690,33.3,51688
40109,388210,404372,96.0,203376,589206,133260,34.8,341548
40125,34613,38066,90.9,17153,55526,14488,37.5,29998
42005,32871,32392,101.5,12342,52921,17199,46.6,32785
42013,59228,63264,93.6,24260,98232,29958,44.0,56957
42039,41603,43460,95.7,17737,67326,21576,43.2,44946
42051,64372,66069,97.4,24914,105527,34122,45.1,63950
45091,132457,141661,93.5,66497,207621,47650,39.0,110226
47113,46509,51096,91.0,21894,75711,20749,38.7,43382
48027,177081,178561,99.2,98693,256949,47833,30.9,142436
48061,206053,217855,94.6,128762,295146,68090,32.4,152374
48139,88519,90917,97.4,47748,131688,27842,36.5,63506
48201,2334547,2364072,98.8,1251684,3446935,633301,33.7,1788357
48245,130211,124790,104.3,61335,193666,46086,36.3,108771
48291,43214,43109,100.2,22869,63454,13900,35.3,31734
48303,151863,155549,97.6,73119,234293,46595,31.1,129669
48441,66929,70711,94.7,34211,103429,24196,33.4,57793
48471,40366,32114,125.7,10927,61553,11731,37.2,26408
48479,135706,140204,96.8,90659,185251,32013,29.0,84466
49057,128298,128061,100.2,72520,183839,37157,33.2,93205
50007,80265,84307,95.2,29165,135407,32693,36.0,70359
51095,35319,41078,86.0,15497,60900,23013,46.8,33765
51161,45242,48831,92.7,18850,75223,22858,43.4,41020
51165,39572,41672,95.0,17790,63454,18832,41.1,35844
51700,87141,91485,95.3,41278,137348,29109,33.8,78028
51710,127098,116978,108.7,47774,196302,35063,30.7,98218
51740,46138,48494,95.1,21850,72782,16684,35.3,40887
51810,221277,228912,96.7,99439,350750,79425,36.5,186134
53007,38586,38450,100.4,18053,58983,17156,39.2,38075
54003,59048,58075,101.7,27231,89892,22737,39.4,49425
54107,40763,43440,93.8,17812,66391,20035,43.4,40294
55059,84207,85083,99.0,38585,130705,29519,38.8,70646
55073,67784,67644,100.2,30847,104581,29072,40.6,59706
56025,39805,39310,101.3,18914,60201,15219,37.2,37181
1069,50400,54322,92.8,24121,80601,22958,40.2,47805
1095,47238,48871,96.7,23959,72150,19929,39.0,40812
1101,106613,119150,89.5,52623,173140,41558,37.2,105170
4017,55015,55430,99.3,29343,81102,23563,38.5,58164
5031,53182,55376,96.0,27150,81408,18586,34.0,46254
6071,1081214,1090389,99.2,572279,1599324,313895,33.6,725921
6073,1682808,1660556,101.3,722408,2620956,582355,36.1,1224390
6077,374647,378013,99.1,204316,548344,121700,34.5,245561
6083,223408,223119,100.1,99331,347196,82955,34.0,158315
6107,234322,231539,101.2,142990,322871,66605,31.4,150217
8077,74894,78313,95.6,33709,119498,34854,41.0,67215
9003,434366,458331,94.8,187303,705394,187468,40.3,380441
9015,56804,60223,94.3,22740,94287,23862,41.0,49828
12005,91852,93435,98.3,39688,145599,38857,39.6,104325
12011,950854,1000406,95.0,412226,1539034,395180,40.4,826949
12021,185300,193188,95.9,64531,313957,139368,51.6,218279
12033,156997,158537,99.0,65783,249751,65633,38.1,142454
12086,1339698,1421883,94.2,558719,2202862,538252,40.1,1032000
13015,52149,54259,96.1,25274,81134,18879,38.3,41529
18039,101432,104128,97.4,56622,148938,36631,35.5,79495
18097,459149,495521,92.7,235211,719459,150319,34.5,424396
18109,34971,35145,99.5,16262,53854,14508,41.4,28476
19049,44132,46048,95.8,25588,64592,12645,35.0,38276
20015,33796,32969,102.5,16767,49998,13164,38.8,27082
20045,59910,61526,97.4,21734,99702,18846,30.2,51068
20103,43315,38037,113.9,19719,61633,15296,38.6,29998
20161,38718,34985,110.7,12188,61515,8492,25.0,31340
20177,86456,91043,95.0,41948,135551,40744,39.3,80187
21067,158158,165622,95.5,67494,256286,54333,34.9,142688
22017,114771,128151,89.6,57735,185187,50596,38.0,113387
22063,68578,70989,96.6,35705,103862,23796,37.1,58285
22079,63788,66774,95.5,32043,98519,26497,37.5,58400
23011,59257,62826,94.3,23001,99082,31132,44.4,62913
25015,75097,86258,87.1,23568,137787,34026,37.6,64058
