,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivia,0,0,0,0,0,0,0,0,0,0,0,0,6,8,13,6,18,24,32,44,76,71,113,133,159,216,348,334,302,368,498,416,353,389,385,1735,291,223,211,197,169
Bosnia_and_Herzegovina,0,0,0,0,0,0,0,0,0,0,0,3,21,60,30,30,36,51,105,60,39,24,18,15,18,39,39,84,96,115,160,237,151,198,211,167,102,198,181,201,146
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,13,13,8,9,13,0,18
Brazil,0,0,0,0,0,0,0,0,0,0,0,0,7,19,36,59,93,130,197,248,314,304,338,321,344,333,337,345,343,352,330,334,318,320,285,263,238,247,225,217,189
British_Virgin_Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,0,2,1,7,20,12,15,21,28,22,27,26,19,29,17,45,22,39,38,47,57,60,102,76,74,96,70,76,52,61,67,88
Burkina_Faso,0,0,0,0,0,0,0,0,0,0,0,1,4,2,4,4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,12,6,2,23,5,11,11,3,25,10,4,7,11,5,4,1,4,3,2,1,1,0,0,1,1,1
