,week_1,week_2,week_3,week_4,week_5,week_6,week_7,week_8,week_9,week_10,week_11,week_12,week_13,week_14,week_15,week_16,week_17,week_18,week_19,week_20,week_21,week_22,week_23,week_24,week_25,week_26,week_27,week_28,week_29,week_30,week_31,week_32,week_33,week_34,week_35,week_36,week_37,week_38,week_39,week_40,week_41
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,26,30,30,9,4,4,4,42,13,18,77,124,366,425,527,523,922,276,1114,1029,1080,689,1709,1433,442,2572,0,7063
Brazil,0,0,0,0,0,0,0,0,0,1,10,78,128,353,535,807,1220,1942,2848,4041,5679,7130,8512,8508,10265,12314,12001,12310,10993,15229,14487,14451,14213,12386,13426,11267,9307,9994,8817,8552,8287
British_Virgin_Islands,0,0,0,0,0,0,0,0,0,0,0,0,992,0,0,662,331,331,0,331,0,0,0,0,0,0,0,0,0,0,331,0,0,5622,6944,5292,992,1653,0,0,0
Bulgaria,0,0,0,0,0,0,0,0,0,6,83,201,229,273,195,350,625,417,485,388,250,115,427,765,925,1218,1558,2155,2185,2436,1920,2240,1421,1273,1265,1267,1317,1371,1808,2301,4489
Burkina_Faso,0,0,0,0,0,0,0,0,0,0,9,25,69,68,72,31,24,17,42,17,21,19,2,1,5,25,19,16,13,16,24,26,33,27,15,44,121,85,64,74,52
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,8,3,0,20,0,18,17,17,34,22,18,66,45,46,14,11,5,15,13,19,6,2,24,11,10
Cambodia,0,0,0,1,0,0,0,0,0,1,13,38,12,4,5,0,0,0,0,0,2,1,1,1,2,6,0,14,20,17,10,16,4,0,1,0,1,0,2,2,3
Cameroon,0,0,0,0,0,0,0,0,0,0,0,20,32,194,60,74,228,182,220,227,659,510,721,585,764,263,545,428,371,207,206,296,204,67,143,174,236,140,91,32,105
Canada,0,0,0,0,0,1,0,1,5,14,92,323,1531,2446,2388,2956,3091,3255,2441,2142,2024,1589,1202,768,661,602,535,589,786,922,641,821,730,735,874,845,1555,1963,2620,3619,3677
Cape_Verde,0,0,0,0,0,0,0,0,0,0,0,54,36,36,54,1025,756,1188,1530,1224,1116,1224,1962,3472,3311,3975,5360,4658,6277,4621,4587,5395,5756,5916,6331,8526,8652,7518,10072,11080,12988
Cayman_Islands,0,0,0,0,0,0,0,0,0,0,0,456,1369,4108,2130,1978,609,760,1368,1521,6087,2433,3196,2435,1217,608,304,0,304,0,0,0,0,304,0,0,456,304,152,304,1217
Central_African_Republic,0,0,0,0,0,0,0,0,0,0,2,6,4,6,4,2,78,92,176,326,654,862,1616,910,1396,1345,870,596,469,105,30,55,53,25,66,37,89,43,27,80,18
Chad,0,0,0,0,0,0,0,0,0,0,0,2,3,2,9,6,9,44,125,120,102,63,30,6,5,5,4,6,6,20,8,6,9,18,16,17,28,40,18,24,51
Chile,0,0,0,0,0,0,0,0,0,9,73,309,890,1237,1418,1559,1729,3572,4928,8368,14615,16303,17623,21232,35324,15188,11800,9992,8041,7791,7100,7088,6517,6311,6360,6564,6360,5773,6384,6317,5828
China,0,0,2,29,111,155,207,37,17,4,0,2,7,1,6,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,9,7,3,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,0,0,10,49,96,153,250,221,319,466,716,921,1117,1672,2010,2425,3560,4689,4959,6670,9784,10435,13904,13712,15532,14747,12474,11139,9834,9539,9388,8639,11187
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45,80,0,873,218,402,402,815,287,448,69,195,68,529,149,69,137,68,333,46,160,92,102,92
Congo,0,0,0,0,0,0,0,0,0,0,2,6,27,46,45,163,85,53,176,143,216,145,131,363,370,286,565,989,1355,633,627,214,310,27,234,1653,78,123,157,0,53
Costa_Rica,0,0,0,0,0,0,0,0,0,18,64,229,337,268,283,99,70,90,118,129,167,261,507,789,1046,1948,3871,5488,6865,8456,6989,8776,10230,10559,13396,14709,16826,16198,15923,14556,15890
Croatia,0,0,0,0,0,0,0,0,18,8,107,610,1180,1052,1043,563,385,150,233,78,39,4,2,17,199,947,1206,1353,1450,1244,1011,861,2454,4031,4770,4415,3696,3396,3052,3780,6878
Cuba,0,0,0,0,0,0,0,0,0,0,4,32,114,159,331,318,267,246,102,87,57,121,103,53,48,23,35,43,17,77,121,331,281,311,277,283,329,366,302,319,136
Cyprus,0,0,0,0,0,0,0,0,0,23,434,869,1302,2683,2249,1256,572,594,309,183,228,137,241,171,34,91,90,204,182,252,1085,1107,1130,1143,423,251,272,787,1255,1530,2284
Denmark,0,0,0,0,0,0,0,0,10,185,1414,912,1929,3633,2826,2066,2043,1678,1456,786,724,539,453,439,535,386,218,275,389,492,774,1414,1598,1135,1014,1948,2912,6082,6473,5154,4755
Djibouti,0,0,0,0,0,0,0,0,0,0,0,30,232,648,2105,5547,1913,819,1124,2946,9616,11143,7177,2256,992,578,1681,1569,435,394,1833,1082,252,111,40,10,80,80,60,111,50
Dominica,0,0,0,0,0,0,0,0,0,0,0,139,1390,556,139,0,0,0,0,0,0,278,0,0,0,0,0,0,0,0,0,0,0,278,0,0,556,0,0,972,139
Dominican_Republic,0,0,0,0,0,0,0,0,1,4,6,216,605,855,1234,1657,1080,1936,2211,1927,2164,2305,2354,2899,3780,4098,5819,6800,7790,9403,8260,6804,5750,4491,2863,4777,3884,4307,2657,3123,3491
Ecuador,0,0,0,0,0,0,0,0,5,6,24,524,558,1009,2144,1474,7432,4898,-1344,2309,2139,1497,1918,2236,1880,2848,3806,3446,3493,3707,3333,4343,3996,3704,3106,-2082,4999,4422,4679,3612,3386
Egypt,0,0,0,0,0,0,0,0,0,5,7,19,27,45,108,111,141,198,287,295,510,823,885,1059,1027,972,925,662,528,398,209,100,90,88,143,107,110,95,79,83,85
El_Salvador,0,0,0,0,0,0,0,0,0,0,0,8,41,71,111,106,163,406,634,641,879,923,804,1112,1515,2104,2858,3008,3436,4360,4330,4669,3578,2494,1555,915,1041,1096,1559,1286,853
Equatorial_Guinea,0,0,0,0,0,0,0,0,0,0,7,56,35,14,35,414,1276,406,884,1996,2310,1875,0,0,4954,0,7627,0,0,0,12473,0,0,748,107,221,201,128,71,171,99
Eritrea,0,0,0,0,0,0,0,0,0,0,0,3,31,53,9,14,0,0,0,0,0,0,6,192,96,136,68,48,54,40,47,8,0,60,34,34,87,8,31,65,45
